question,answer,count,denominator,prevalence
questionnaire$diag_1_m,Angina,934,52353,0.017840429392775962
questionnaire$diag_1_m,Cancer,3693,52353,0.07054037017935935
questionnaire$diag_1_m,Diabetes,2503,52353,0.04781005864038355
questionnaire$diag_1_m,Heart attack,773,52353,0.014765151949267473
questionnaire$diag_1_m,High blood pressure,10538,52353,0.20128741428380417
questionnaire$diag_1_m,Lung Disease,1349,52353,0.0257673867782171
questionnaire$diag_1_m,None of the above,33527,52353,0.6404026512329761
questionnaire$diag_1_m,Other,5113,52353,0.09766393520906157
questionnaire$diag_1_m,Stroke,720,52353,0.013752793536187038
questionnaire$diag_2_m,Autoimmune disorder,91548,1708163,0.053594416926253524
questionnaire$diag_2_m,Blood disorders (Anaemia),125796,1708163,0.07364402577505777
questionnaire$diag_2_m,Cancer,133276,1708163,0.07802299897609304
questionnaire$diag_2_m,Complications or difficulties in pregnancy or childbirth,110263,1708163,0.06455063129221275
questionnaire$diag_2_m,Digestive system or liver problems,209401,1708163,0.12258841808422265
questionnaire$diag_2_m,"Endocrine, nutritional and metabolic disorders (e.g. diabetes, thyroid disorder, vitamin deficiencies)",184745,1708163,0.10815419839909891
questionnaire$diag_2_m,Eye or visual problems,312364,1708163,0.18286545253585285
questionnaire$diag_2_m,"Fractures, breaks, or joint problems",397007,1708163,0.23241751519029508
questionnaire$diag_2_m,Heart or circulatory disease (e.g. high blood pressure or stroke),279144,1708163,0.16341765979007858
questionnaire$diag_2_m,Kidney or urinary system disorders,107732,1708163,0.06306892257940255
questionnaire$diag_2_m,Lung or respiratory problems,190248,1708163,0.11137578790782847
questionnaire$diag_2_m,"Mental health conditions (e.g. depression, bipolar disorder)",343095,1708163,0.20085612438625589
questionnaire$diag_2_m,"Neurodevelopmental conditions (e.g. Autism spectrum disorder, ADHD)",37746,1708163,0.02209742278693544
questionnaire$diag_2_m,"Neurological disorders (things that affect that brain or nervous system. E.g., Epilepsy)",43141,1708163,0.02525578647939336
questionnaire$diag_2_m,None of the above,448740,1708163,0.26270326660863164
questionnaire$diag_2_m,Other not listed,116346,1708163,0.06811176685128996
questionnaire$diag_2_m,Reproductive system problems,104394,1708163,0.061114776517229324
questionnaire$diag_anaemia_1_m,Aplastic anaemia,269,122664,0.0021929824561403508
questionnaire$diag_anaemia_1_m,None of the above,5931,122664,0.04835159459988261
questionnaire$diag_anaemia_1_m,Other (not listed),6524,122664,0.05318593882475706
questionnaire$diag_anaemia_1_m,Sickle cell anaemia,447,122664,0.0036441009587164937
questionnaire$diag_anaemia_1_m,Thalassaemia,2375,122664,0.01936183395291202
questionnaire$diag_anaemia_1_m,Vitamin deficiency anaemia,19658,122664,0.16025891867214503
questionnaire$diag_anaemia_1_m,iron deficiency anaemia,105784,122664,0.8623883127894084
questionnaire$diag_auto_1_m,Graves’ disease,3527,90570,0.03894225460969416
questionnaire$diag_auto_1_m,Guillain-Barre syndrome,594,90570,0.006558463067240808
questionnaire$diag_auto_1_m,Inflammatory Bowel Disease (IBD),11816,90570,0.1304626255934636
questionnaire$diag_auto_1_m,Lupus,3046,90570,0.03363144529093519
questionnaire$diag_auto_1_m,Multiple Sclerosis (MS),3091,90570,0.03412829855360495
questionnaire$diag_auto_1_m,None of the above,12836,90570,0.1417246328806448
questionnaire$diag_auto_1_m,Other (not listed),40393,90570,0.44598652975598985
questionnaire$diag_auto_1_m,Psoriasis,13465,90570,0.14866953737440652
questionnaire$diag_auto_1_m,Rheumatoid arthritis,14474,90570,0.159810091641824
questionnaire$diag_cancer_1_m,Anal,927,133242,0.006957265727023011
questionnaire$diag_cancer_1_m,Another type of cancer,6071,133242,0.04556371114213236
questionnaire$diag_cancer_1_m,Bladder,4325,133242,0.032459734918419116
questionnaire$diag_cancer_1_m,Brain,686,133242,0.00514852674081746
questionnaire$diag_cancer_1_m,Breast,34874,133242,0.2617342879872713
questionnaire$diag_cancer_1_m,Cervical,4829,133242,0.036242325993305416
questionnaire$diag_cancer_1_m,Colon/rectal,8983,133242,0.06741868179703096
